X,Y,Z
-2.828427124746191623e+00,-4.500000000000000711e+01,2.828427124746190291e+00
-2.000000000000001332e+00,-4.500000000000000711e+01,3.464101615137753942e+00
-3.464101615137755719e+00,-4.500000000000000711e+01,1.999999999999999556e+00
-3.863703305156274137e+00,-4.500000000000000711e+01,1.035276180410082958e+00
-4.000000000000000888e+00,-4.500000000000000711e+01,0.000000000000000000e+00
-3.863703305156274137e+00,-4.500000000000000711e+01,-1.035276180410082736e+00
-2.449745887383106169e+00,-4.500000000000000711e+01,1.716266635609039692e+00
-1.588892342019176729e+00,-4.500000000000000711e+01,2.578867762809030850e+00
-1.035276180410084512e+00,-4.500000000000000711e+01,3.863703305156274137e+00
-2.894373611522601412e-16,-4.500000000000000711e+01,4.000000000000000888e+00
-2.862897365244186698e+00,-4.500000000000000711e+01,8.954476314533833525e-01
-3.464101615137755275e+00,-4.500000000000000711e+01,-2.000000000000001332e+00
-2.911754251058754850e+00,-4.500000000000000711e+01,-7.770122359960572878e-01
-2.828427124746190291e+00,-4.500000000000000711e+01,-2.828427124746191623e+00
-1.527105025743869415e+00,-4.500000000000000711e+01,6.260151520071237652e-01
-8.766131671341901299e-01,-4.500000000000000711e+01,1.625852416442747916e+00
-5.463944823572471771e-02,-4.500000000000000711e+01,2.910290206874649233e+00
1.035276180410083402e+00,-4.500000000000000711e+01,3.863703305156274137e+00
1.999999999999999112e+00,-4.500000000000000711e+01,3.464101615137755719e+00
-1.840559680955150323e+00,-4.500000000000000711e+01,-4.978705769972120998e-01
-2.260308423467104255e+00,-4.500000000000000711e+01,-1.730365006629232427e+00
-1.999999999999999556e+00,-4.500000000000000711e+01,-3.464101615137755719e+00
-1.726549278527852893e+00,-4.500000000000000711e+01,-2.284339281420968426e+00
-6.249577560776673479e-01,-4.500000000000000711e+01,5.485006263447695929e-01
-1.032232110213117560e+00,-4.500000000000000711e+01,-1.590648789789145812e-01
2.876837650267183299e-01,-4.500000000000000711e+01,1.597394934889367013e+00
1.448963672891239840e+00,-4.500000000000000711e+01,2.476381268942799974e+00
2.828427124746191623e+00,-4.500000000000000711e+01,2.828427124746190291e+00
4.282959080113206696e-01,-4.500000000000000711e+01,4.894135486746388208e-01
-1.035276180410079405e+00,-4.500000000000000711e+01,-3.863703305156275025e+00
-9.980109808630055479e-01,-4.500000000000000711e+01,-1.363509901254595258e+00
-1.126167214474491418e+00,-4.500000000000000711e+01,-2.739591977982105853e+00
-1.623725926250793872e-01,-4.500000000000000711e+01,-4.274199601476660337e-01
1.589002359529838593e+00,-4.500000000000000711e+01,1.072645054003277698e+00
2.568693706295071877e+00,-4.500000000000000711e+01,1.470809454035004515e+00
3.464101615137757051e+00,-4.500000000000000711e+01,1.999999999999997780e+00
2.604936250370341369e-15,-4.500000000000000711e+01,-4.000000000000000888e+00
1.052123764202791412e+00,-4.500000000000000711e+01,-3.440529117165557205e-01
2.160307581045906866e-01,-4.500000000000000711e+01,-2.992187324574274054e+00
2.459218146878039690e-01,-4.500000000000000711e+01,-1.685044761870536867e+00
2.089043155236754323e+00,-4.500000000000000711e+01,3.441045166637493602e-01
2.977080584376714523e+00,-4.500000000000000711e+01,2.378362160087647559e-01
3.863703305156275025e+00,-4.500000000000000711e+01,1.035276180410077629e+00
1.035276180410085178e+00,-4.500000000000000711e+01,-3.863703305156274137e+00
2.211621485920880037e+00,-4.500000000000000711e+01,-4.916475936237419408e-01
1.588535232235008809e+00,-4.500000000000000711e+01,-1.399484658811725346e+00
1.151313736234815144e+00,-4.500000000000000711e+01,-2.529066598606826588e+00
3.025594303106795557e+00,-4.500000000000000711e+01,-4.530256770566026270e-01
4.000000000000000888e+00,-4.500000000000000711e+01,-4.630997778436162259e-15
2.000000000000000444e+00,-4.500000000000000711e+01,-3.464101615137755719e+00
2.716591352885159960e+00,-4.500000000000000711e+01,-1.227950967976729313e+00
2.215511620458927577e+00,-4.500000000000000711e+01,-2.240129052745444493e+00
3.863703305156272805e+00,-4.500000000000000711e+01,-1.035276180410086511e+00
2.828427124746192511e+00,-4.500000000000000711e+01,-2.828427124746189403e+00
3.464101615137755719e+00,-4.500000000000000711e+01,-1.999999999999999112e+00
3.946410161513776416e+01,-4.500000000000000711e+01,-2.000000000000000888e+00
3.800000000000000711e+01,-4.500000000000000711e+01,-3.464101615137753942e+00
3.882842712474619873e+01,-4.500000000000000711e+01,-2.828427124746189847e+00
3.986370330515627813e+01,-4.500000000000000711e+01,-1.035276180410081404e+00
4.000000000000000711e+01,-4.500000000000000711e+01,7.347880794884119736e-16
3.986370330515627813e+01,-4.500000000000000711e+01,1.035276180410082736e+00
3.946410161513776416e+01,-4.500000000000000711e+01,1.999999999999995781e+00
3.882842712474619873e+01,-4.500000000000000711e+01,2.828427124746187626e+00
3.703527618041008651e+01,-4.500000000000000711e+01,-3.863703305156274137e+00
3.600000000000000711e+01,-4.500000000000000711e+01,-4.000000000000000888e+00
3.715109337826638836e+01,-4.500000000000000711e+01,-2.698953487327319323e+00
3.868679799361693483e+01,-4.500000000000000711e+01,-1.377043762045912390e+00
3.786025895195029278e+01,-4.500000000000000711e+01,-2.302911438426108237e+00
3.874962538249836541e+01,-4.500000000000000711e+01,1.052216837325123056e+00
3.903999274468360170e+01,-4.500000000000000711e+01,3.414749456354777002e-01
3.800000000000000711e+01,-4.500000000000000711e+01,3.464101615137753054e+00
3.788396571914743305e+01,-4.500000000000000711e+01,2.401170292090841762e+00
3.702384695805533710e+01,-4.500000000000000711e+01,2.830027774272798169e+00
3.703527618041009362e+01,-4.500000000000000711e+01,3.863703305156273249e+00
3.496472381958992059e+01,-4.500000000000000711e+01,-3.863703305156274137e+00
3.639888734823384908e+01,-4.500000000000000711e+01,-2.931338213265459736e+00
3.536421344584585569e+01,-4.500000000000000711e+01,-2.863315309342757686e+00
3.677284577375171892e+01,-4.500000000000000711e+01,-1.790126790657565747e+00
3.775320759745478938e+01,-4.500000000000000711e+01,-8.419884368253911511e-01
3.784617059512782333e+01,-4.500000000000000711e+01,7.411449378764090046e-01
3.708760500267449345e+01,-4.500000000000000711e+01,1.263098214545026465e+00
3.667854629609679762e+01,-4.500000000000000711e+01,1.918704352105220501e+00
3.643067469321239571e+01,-4.500000000000000711e+01,2.969315769167373276e+00
3.600000000000000711e+01,-4.500000000000000711e+01,4.000000000000000888e+00
3.400000000000000000e+01,-4.500000000000000711e+01,-3.464101615137755275e+00
3.433452980641170882e+01,-4.500000000000000711e+01,-2.315244455424262160e+00
3.559301517867698550e+01,-4.500000000000000711e+01,-1.976028626290454948e+00
3.602594176234602941e+01,-4.500000000000000711e+01,-9.023682416347723612e-01
3.656262712430822148e+01,-4.500000000000000711e+01,2.308977744873741966e-01
3.560821836394047324e+01,-4.500000000000000711e+01,3.079882749550320487e+00
3.603970260496506484e+01,-4.500000000000000711e+01,1.204030423383867010e+00
3.581050263491180630e+01,-4.500000000000000711e+01,2.261548360788987022e+00
3.496472381958992059e+01,-4.500000000000000711e+01,3.863703305156274137e+00
3.361850008501847498e+01,-4.500000000000000711e+01,-1.796228067983614007e+00
3.317157287525381548e+01,-4.500000000000000711e+01,-2.828427124746190291e+00
3.442603913163386409e+01,-4.500000000000000711e+01,-1.208182934933198283e+00
3.504791576825060417e+01,-4.500000000000000711e+01,1.712195644106035142e-01
3.473379678208202392e+01,-4.500000000000000711e+01,2.804298967931444952e+00
3.489026830763780396e+01,-4.500000000000000711e+01,1.531260825719386709e+00
3.400000000000000000e+01,-4.500000000000000711e+01,3.464101615137755275e+00
3.332716296682812640e+01,-4.500000000000000711e+01,-1.037538169714945946e+00
3.253589838486225005e+01,-4.500000000000000711e+01,-2.000000000000000888e+00
3.384631385243942248e+01,-4.500000000000000711e+01,-1.903814246477587013e-01
3.409457439438416770e+01,-4.500000000000000711e+01,8.462662465947022872e-01
3.361511766123315681e+01,-4.500000000000000711e+01,1.900201391206715940e+00
3.317157287525381548e+01,-4.500000000000000711e+01,2.828427124746190291e+00
3.298783692146800917e+01,-4.500000000000000711e+01,-3.797194091302172336e-01
3.213629669484372897e+01,-4.500000000000000711e+01,-1.035276180410084068e+00
3.314594740531570949e+01,-4.500000000000000711e+01,1.157698810428998248e+00
3.309680419824135100e+01,-4.500000000000000711e+01,4.358896057731228013e-01
3.253589838486225005e+01,-4.500000000000000711e+01,1.999999999999999556e+00
3.200000000000000711e+01,-4.500000000000000711e+01,-2.449293598294706907e-16
3.213629669484372897e+01,-4.500000000000000711e+01,1.035276180410083624e+00
-3.452160931883216488e+00,-4.500000000000000711e+01,9.231065829724649507e-01
-3.434138752324213062e+00,-4.500000000000000711e+01,-9.192471110687534530e-01
-2.486192014964977659e+00,-4.500000000000000711e+01,-2.483784124803672722e+00
-3.092798954556764457e+00,-4.500000000000000711e+01,1.785190526497823393e+00
-3.572367315318755843e+00,-4.500000000000000711e+01,-1.071787731046516985e-02
-3.060803856077688678e+00,-4.500000000000000711e+01,-1.752537933600103903e+00
-1.762252774466708694e+00,-4.500000000000000711e+01,-3.056325126725494279e+00
-2.520986986664675022e+00,-4.500000000000000711e+01,2.523182353704454872e+00
-9.118757003198194599e-01,-4.500000000000000711e+01,3.420217101461311415e+00
9.243722786881976017e-01,-4.500000000000000711e+01,3.422650825255993290e+00
-1.766081815998266968e+00,-4.500000000000000711e+01,3.085070972350102192e+00
4.444862031858840164e-03,-4.500000000000000711e+01,3.538457010234146161e+00
1.778912098181788304e+00,-4.500000000000000711e+01,3.082853462529741240e+00
-9.214731560126304677e-01,-4.500000000000000711e+01,-3.415944996168221337e+00
9.207248632713177505e-01,-4.500000000000000711e+01,-3.450447821516688940e+00
2.528488774624177982e+00,-4.500000000000000711e+01,-2.530179458333907672e+00
-3.395505425638211359e-03,-4.500000000000000711e+01,-3.555810064409999249e+00
1.778495989169376790e+00,-4.500000000000000711e+01,-3.104855862277090761e+00
3.095132908505238589e+00,-4.500000000000000711e+01,-1.783125618167586302e+00
2.523542002282998631e+00,-4.500000000000000711e+01,2.520836252872622030e+00
3.443524722644097924e+00,-4.500000000000000711e+01,9.240267032887290455e-01
3.564636801346880546e+00,-4.500000000000000711e+01,1.249667761958286275e-03
3.094674874191617686e+00,-4.500000000000000711e+01,1.774719040244133961e+00
3.445173795686538476e+00,-4.500000000000000711e+01,-9.247555874561649292e-01
-3.676423004705585029e+00,-4.500000000000000711e+01,9.850945751488007218e-01
-3.668370654895029226e+00,-4.500000000000000711e+01,-9.828188230574818052e-01
-2.672318463464316896e+00,-4.500000000000000711e+01,-2.672318463426236690e+00
-3.295233324007711850e+00,-4.500000000000000711e+01,1.902522788775898421e+00
-3.805604445265882596e+00,-4.500000000000000711e+01,-4.053533569011285795e-03
-3.280202775211101596e+00,-4.500000000000000711e+01,-1.888476408875136681e+00
-1.891486883533963992e+00,-4.500000000000000711e+01,-3.279010256101752230e+00
-2.689180554488758368e+00,-4.500000000000000711e+01,2.689180554493037167e+00
-9.811379080299554856e-01,-4.500000000000000711e+01,3.661595559046493698e+00
9.837143498214979687e-01,-4.500000000000000711e+01,3.663521365125199214e+00
-1.894756825910768994e+00,-4.500000000000000711e+01,3.291155752411976110e+00
5.491491292968453354e-04,-4.500000000000000711e+01,3.790203880892224930e+00
1.898699667461573481e+00,-4.500000000000000711e+01,3.291279341169443651e+00
-9.828960938736237551e-01,-4.500000000000000711e+01,-3.660344595386482158e+00
9.848416141836914273e-01,-4.500000000000000711e+01,-3.675422149184583986e+00
2.692475757349938714e+00,-4.500000000000000711e+01,-2.692475757354114041e+00
-5.284995193620436972e-04,-4.500000000000000711e+01,-3.798092827252796067e+00
1.900275431524909964e+00,-4.500000000000000711e+01,-3.300224464157329063e+00
3.296383214631502412e+00,-4.500000000000000711e+01,-1.901429842090878841e+00
2.689228035262837047e+00,-4.500000000000000711e+01,2.689228034984331384e+00
3.672543267287581958e+00,-4.500000000000000711e+01,9.853583817282076662e-01
3.802107387507842162e+00,-4.500000000000000711e+01,4.609246170165046553e-04
3.295802899140692244e+00,-4.500000000000000711e+01,1.898223753946093106e+00
3.673330701079845717e+00,-4.500000000000000711e+01,-9.855445287561231948e-01
3.509124128926338670e+01,-4.500000000000000711e+01,-3.383730342092384991e+00
3.353062201596865322e+01,-4.500000000000000711e+01,-2.465191365403437640e+00
3.261597152698418967e+01,-4.500000000000000711e+01,-9.032492578051616317e-01
3.600280177669797155e+01,-4.500000000000000711e+01,-3.513254705979247827e+00
3.423953693067621629e+01,-4.500000000000000711e+01,-3.018717711874286280e+00
3.297678035186344658e+01,-4.500000000000000711e+01,-1.747113951641570795e+00
3.247618611474567984e+01,-4.500000000000000711e+01,-1.614566589607776236e-03
3.348271276577573019e+01,-4.500000000000000711e+01,2.520762896487518834e+00
3.258281624404351362e+01,-4.500000000000000711e+01,9.187734249301799938e-01
3.599809625427412385e+01,-4.500000000000000711e+01,3.568103781190464563e+00
3.508046775492150005e+01,-4.500000000000000711e+01,3.439809200253320487e+00
3.421654073698961440e+01,-4.500000000000000711e+01,3.085493449637398022e+00
3.293280329800455064e+01,-4.500000000000000711e+01,1.787390616156962597e+00
3.848838931121355245e+01,-4.500000000000000711e+01,-2.491449247093490804e+00
3.941788878342473623e+01,-4.500000000000000711e+01,-9.175434161585603876e-01
3.776137668273228343e+01,-4.500000000000000711e+01,-3.046472318808379764e+00
3.904979644843382403e+01,-4.500000000000000711e+01,-1.776976449050513107e+00
3.954918176600211410e+01,-4.500000000000000711e+01,2.945845858310039683e-03
3.690890594362896593e+01,-4.500000000000000711e+01,-3.399678894431207965e+00
3.855102307435557663e+01,-4.500000000000000711e+01,2.548207680226500571e+00
3.944677847324705056e+01,-4.500000000000000711e+01,9.220014824686593169e-01
