X,Y,Z
1.035276,-45.000000,3.863703
2.000000,-45.000000,3.464102
0.287684,-45.000000,1.597395
1.448964,-45.000000,2.476381
2.828427,-45.000000,2.828427
0.428296,-45.000000,0.489414
1.589002,-45.000000,1.072645
2.568694,-45.000000,1.470809
3.464102,-45.000000,2.000000
0.000000,-45.000000,-4.000000
1.052124,-45.000000,-0.344053
0.216031,-45.000000,-2.992187
0.245922,-45.000000,-1.685045
2.089043,-45.000000,0.344105
2.977081,-45.000000,0.237836
3.863703,-45.000000,1.035276
1.035276,-45.000000,-3.863703
2.211621,-45.000000,-0.491648
1.588535,-45.000000,-1.399485
1.151314,-45.000000,-2.529067
3.025594,-45.000000,-0.453026
4.000000,-45.000000,-0.000000
2.000000,-45.000000,-3.464102
2.716591,-45.000000,-1.227951
2.215512,-45.000000,-2.240129
3.863703,-45.000000,-1.035276
2.828427,-45.000000,-2.828427
3.464102,-45.000000,-2.000000
39.464102,-45.000000,-2.000000
38.000000,-45.000000,-3.464102
38.828427,-45.000000,-2.828427
39.863703,-45.000000,-1.035276
40.000000,-45.000000,0.000000
39.863703,-45.000000,1.035276
39.464102,-45.000000,2.000000
38.828427,-45.000000,2.828427
37.035276,-45.000000,-3.863703
36.000000,-45.000000,-4.000000
37.151093,-45.000000,-2.698953
38.686798,-45.000000,-1.377044
37.860259,-45.000000,-2.302911
38.749625,-45.000000,1.052217
39.039993,-45.000000,0.341475
38.000000,-45.000000,3.464102
37.883966,-45.000000,2.401170
37.023847,-45.000000,2.830028
37.035276,-45.000000,3.863703
34.964724,-45.000000,-3.863703
36.398887,-45.000000,-2.931338
35.364213,-45.000000,-2.863315
36.772846,-45.000000,-1.790127
37.753208,-45.000000,-0.841988
37.846171,-45.000000,0.741145
37.087605,-45.000000,1.263098
36.678546,-45.000000,1.918704
36.430675,-45.000000,2.969316
36.000000,-45.000000,4.000000
34.000000,-45.000000,-3.464102
34.334530,-45.000000,-2.315244
35.593015,-45.000000,-1.976029
36.025942,-45.000000,-0.902368
36.562627,-45.000000,0.230898
35.608218,-45.000000,3.079883
36.039703,-45.000000,1.204030
35.810503,-45.000000,2.261548
34.964724,-45.000000,3.863703
33.618500,-45.000000,-1.796228
33.171573,-45.000000,-2.828427
34.426039,-45.000000,-1.208183
35.047916,-45.000000,0.171220
34.733797,-45.000000,2.804299
34.890268,-45.000000,1.531261
34.000000,-45.000000,3.464102
33.327163,-45.000000,-1.037538
32.535898,-45.000000,-2.000000
33.846314,-45.000000,-0.190381
34.094574,-45.000000,0.846266
33.615118,-45.000000,1.900201
33.171573,-45.000000,2.828427
32.987837,-45.000000,-0.379719
32.136297,-45.000000,-1.035276
33.145947,-45.000000,1.157699
33.096804,-45.000000,0.435890
32.535898,-45.000000,2.000000
32.000000,-45.000000,-0.000000
32.136297,-45.000000,1.035276
0.924372,-45.000000,3.422651
0.004445,-45.000000,3.538457
1.778912,-45.000000,3.082853
0.920725,-45.000000,-3.450448
2.528489,-45.000000,-2.530179
1.778496,-45.000000,-3.104856
3.095133,-45.000000,-1.783126
2.523542,-45.000000,2.520836
3.443525,-45.000000,0.924027
3.564637,-45.000000,0.001250
3.094675,-45.000000,1.774719
3.445174,-45.000000,-0.924756
0.983714,-45.000000,3.663521
0.000549,-45.000000,3.790204
1.898700,-45.000000,3.291279
0.984842,-45.000000,-3.675422
2.692476,-45.000000,-2.692476
1.900275,-45.000000,-3.300224
3.296383,-45.000000,-1.901430
2.689228,-45.000000,2.689228
3.672543,-45.000000,0.985358
3.802107,-45.000000,0.000461
3.295803,-45.000000,1.898224
3.673331,-45.000000,-0.985545
35.091241,-45.000000,-3.383730
33.530622,-45.000000,-2.465191
32.615972,-45.000000,-0.903249
36.002802,-45.000000,-3.513255
34.239537,-45.000000,-3.018718
32.976780,-45.000000,-1.747114
32.476186,-45.000000,-0.001615
33.482713,-45.000000,2.520763
32.582816,-45.000000,0.918773
35.998096,-45.000000,3.568104
35.080468,-45.000000,3.439809
34.216541,-45.000000,3.085493
32.932803,-45.000000,1.787391
38.488389,-45.000000,-2.491449
39.417889,-45.000000,-0.917543
37.761377,-45.000000,-3.046472
39.049796,-45.000000,-1.776976
39.549182,-45.000000,0.002946
36.908906,-45.000000,-3.399679
38.551023,-45.000000,2.548208
39.446778,-45.000000,0.922001
36.926724,-45.000000,3.448795
39.107595,-45.000000,1.796690
37.804364,-45.000000,3.099246
35.023119,-45.000000,-3.645771
33.336006,-45.000000,-2.664553
32.354317,-45.000000,-0.975215
36.001670,-45.000000,-3.778755
34.110353,-45.000000,-3.262460
32.736230,-45.000000,-1.884932
32.216443,-45.000000,-0.001530
33.311965,-45.000000,2.687548
32.338903,-45.000000,0.980988
35.998518,-45.000000,3.803688
35.017641,-45.000000,3.671108
34.098732,-45.000000,3.292182
32.715441,-45.000000,1.901771
38.674828,-45.000000,-2.674295
39.661256,-45.000000,-0.981031
37.891119,-45.000000,-3.274509
39.276479,-45.000000,-1.897350
39.795083,-45.000000,0.001448
36.977360,-45.000000,-3.652914
38.701480,-45.000000,2.701912
39.674376,-45.000000,0.983119
36.984822,-45.000000,3.675406
39.302340,-45.000000,1.907086
37.909661,-45.000000,3.299032
