X,Y,Z
-3.863703,1.035276,60.000000
-3.464102,2.000000,60.000000
-3.464102,-2.000000,60.000000
-1.035276,3.863703,60.000000
-2.000000,3.464102,60.000000
-0.437745,3.128701,60.000000
-2.828427,-2.828427,60.000000
-3.863703,-1.035276,60.000000
-0.000000,-4.000000,60.000000
-1.035276,-3.863703,60.000000
-2.562575,-1.822221,60.000000
-2.738776,-1.023802,60.000000
-2.000000,-3.464102,60.000000
-4.000000,0.000000,60.000000
-1.728154,2.561466,60.000000
-2.828427,2.828427,60.000000
-0.297093,2.039057,60.000000
-1.093352,1.938261,60.000000
-3.092788,0.011960,60.000000
-2.827988,1.041898,60.000000
-1.775510,1.325273,60.000000
-2.453866,1.855786,60.000000
-1.838435,-2.501497,60.000000
-1.909488,0.109610,60.000000
-0.730229,0.972465,60.000000
-0.016026,-2.951070,60.000000
-1.654847,-1.207035,60.000000
-0.658704,-1.665897,60.000000
-0.775436,-0.449061,60.000000
-2.499365,-2.498962,60.000000
-3.439448,-0.923344,60.000000
-0.912747,-3.395784,60.000000
-3.064387,-1.783660,60.000000
-1.773706,-3.044857,60.000000
-3.573225,0.000577,60.000000
-0.000096,-3.518220,60.000000
-3.470650,0.932750,60.000000
-2.553457,2.553386,60.000000
-0.933869,3.475657,60.000000
-3.113750,1.810986,60.000000
-1.812341,3.116060,60.000000
-0.000410,3.591080,60.000000
-2.678694,-2.678830,60.000000
-3.671058,-0.983657,60.000000
-0.978373,-3.651336,60.000000
-3.282978,-1.900634,60.000000
-1.895745,-3.274302,60.000000
-3.806011,-0.000003,60.000000
-3.685360,0.987489,60.000000
-2.703481,2.703367,60.000000
-0.988092,3.687610,60.000000
-3.305509,1.912886,60.000000
-1.913554,3.306530,60.000000
-0.000003,3.814127,60.000000
